Bandstructure_0@MoS/Bicapa.hdf5

+------------------------------------------------------------------------------+
| Bandstructure Report                                                         |
| ---------------------------------------------------------------------------- |
| Fermi level = -4.912067e+00                                                  |
| Indirect band gap =  1.262310e+00                                            |
| Direct band gap =  1.747375e+00                                              |
| Conduction band edge =  7.029932e-01                                         |
| Valence band edge = -5.593167e-01                                            |
| Unit = eV                                                                    |
| ---------------------------------------------------------------------------- |
| Route:                                                                       |
|    Fractional       Cartesian (1/Angstrom)                                   |
| G  [0  , 0  , 0  ]  [0.0000, 0.0000, 0.0000]  x = 0.0000e+00                 |
| M  [0  , 1/2, 0  ]  [0.9940, 0.5739, 0.0000]  x = 3.6603e-01                 |
| K  [1/3, 1/3, 0  ]  [1.3254, 0.0000, 0.0000]  x = 5.7735e-01                 |
| G  [0  , 0  , 0  ]  [0.0000, 0.0000, 0.0000]  x = 1.0000e+00                 |
|                                                                              |
+------------------------------------------------------------------------------+

# Band 0
x           Energy / eV  Fractional k-point
1.0000e+00  -6.1810e+01   [0.0000e+00, 0.0000e+00, 0.0000e+00]

# Band 1
x           Energy / eV  Fractional k-point
0.0000e+00  -6.1810e+01   [0.0000e+00, 0.0000e+00, 0.0000e+00]
1.8301e-02  -6.1809e+01   [0.0000e+00, 2.5000e-02, 0.0000e+00]
3.6603e-02  -6.1809e+01   [0.0000e+00, 5.0000e-02, 0.0000e+00]
5.4904e-02  -6.1807e+01   [0.0000e+00, 7.5000e-02, 0.0000e+00]
7.3205e-02  -6.1806e+01   [0.0000e+00, 1.0000e-01, 0.0000e+00]
9.1506e-02  -6.1804e+01   [0.0000e+00, 1.2500e-01, 0.0000e+00]
1.0981e-01  -6.1801e+01   [0.0000e+00, 1.5000e-01, 0.0000e+00]
1.2811e-01  -6.1799e+01   [0.0000e+00, 1.7500e-01, 0.0000e+00]
1.4641e-01  -6.1796e+01   [0.0000e+00, 2.0000e-01, 0.0000e+00]
1.6471e-01  -6.1793e+01   [0.0000e+00, 2.2500e-01, 0.0000e+00]
1.8301e-01  -6.1789e+01   [0.0000e+00, 2.5000e-01, 0.0000e+00]
2.0131e-01  -6.1786e+01   [0.0000e+00, 2.7500e-01, 0.0000e+00]
2.1962e-01  -6.1783e+01   [0.0000e+00, 3.0000e-01, 0.0000e+00]
2.3792e-01  -6.1780e+01   [0.0000e+00, 3.2500e-01, 0.0000e+00]
2.5622e-01  -6.1777e+01   [0.0000e+00, 3.5000e-01, 0.0000e+00]
2.7452e-01  -6.1775e+01   [0.0000e+00, 3.7500e-01, 0.0000e+00]
2.9282e-01  -6.1773e+01   [0.0000e+00, 4.0000e-01, 0.0000e+00]
3.1112e-01  -6.1771e+01   [0.0000e+00, 4.2500e-01, 0.0000e+00]
3.2942e-01  -6.1770e+01   [0.0000e+00, 4.5000e-01, 0.0000e+00]
3.4772e-01  -6.1769e+01   [0.0000e+00, 4.7500e-01, 0.0000e+00]
3.6603e-01  -6.1769e+01   [0.0000e+00, 5.0000e-01, 0.0000e+00]
3.7659e-01  -6.1769e+01   [1.6667e-02, 4.9167e-01, 0.0000e+00]
3.8716e-01  -6.1769e+01   [3.3333e-02, 4.8333e-01, 0.0000e+00]
3.9772e-01  -6.1769e+01   [5.0000e-02, 4.7500e-01, 0.0000e+00]
4.0829e-01  -6.1768e+01   [6.6667e-02, 4.6667e-01, 0.0000e+00]
4.1886e-01  -6.1768e+01   [8.3333e-02, 4.5833e-01, 0.0000e+00]
4.2942e-01  -6.1768e+01   [1.0000e-01, 4.5000e-01, 0.0000e+00]
4.3999e-01  -6.1768e+01   [1.1667e-01, 4.4167e-01, 0.0000e+00]
4.5056e-01  -6.1767e+01   [1.3333e-01, 4.3333e-01, 0.0000e+00]
4.6112e-01  -6.1767e+01   [1.5000e-01, 4.2500e-01, 0.0000e+00]
4.7169e-01  -6.1767e+01   [1.6667e-01, 4.1667e-01, 0.0000e+00]
4.8225e-01  -6.1766e+01   [1.8333e-01, 4.0833e-01, 0.0000e+00]
4.9282e-01  -6.1766e+01   [2.0000e-01, 4.0000e-01, 0.0000e+00]
5.0339e-01  -6.1765e+01   [2.1667e-01, 3.9167e-01, 0.0000e+00]
5.1395e-01  -6.1765e+01   [2.3333e-01, 3.8333e-01, 0.0000e+00]
5.2452e-01  -6.1765e+01   [2.5000e-01, 3.7500e-01, 0.0000e+00]
5.3509e-01  -6.1764e+01   [2.6667e-01, 3.6667e-01, 0.0000e+00]
5.4565e-01  -6.1764e+01   [2.8333e-01, 3.5833e-01, 0.0000e+00]
5.5622e-01  -6.1764e+01   [3.0000e-01, 3.5000e-01, 0.0000e+00]
5.6678e-01  -6.1764e+01   [3.1667e-01, 3.4167e-01, 0.0000e+00]
5.7735e-01  -6.1764e+01   [3.3333e-01, 3.3333e-01, 0.0000e+00]
5.9848e-01  -6.1764e+01   [3.1667e-01, 3.1667e-01, 0.0000e+00]
6.1962e-01  -6.1765e+01   [3.0000e-01, 3.0000e-01, 0.0000e+00]
6.4075e-01  -6.1766e+01   [2.8333e-01, 2.8333e-01, 0.0000e+00]
6.6188e-01  -6.1767e+01   [2.6667e-01, 2.6667e-01, 0.0000e+00]
6.8301e-01  -6.1769e+01   [2.5000e-01, 2.5000e-01, 0.0000e+00]
7.0415e-01  -6.1771e+01   [2.3333e-01, 2.3333e-01, 0.0000e+00]
7.2528e-01  -6.1774e+01   [2.1667e-01, 2.1667e-01, 0.0000e+00]
7.4641e-01  -6.1777e+01   [2.0000e-01, 2.0000e-01, 0.0000e+00]
7.6754e-01  -6.1781e+01   [1.8333e-01, 1.8333e-01, 0.0000e+00]
7.8868e-01  -6.1784e+01   [1.6667e-01, 1.6667e-01, 0.0000e+00]
8.0981e-01  -6.1788e+01   [1.5000e-01, 1.5000e-01, 0.0000e+00]
8.3094e-01  -6.1792e+01   [1.3333e-01, 1.3333e-01, 0.0000e+00]
8.5207e-01  -6.1795e+01   [1.1667e-01, 1.1667e-01, 0.0000e+00]
8.7321e-01  -6.1799e+01   [1.0000e-01, 1.0000e-01, 0.0000e+00]
8.9434e-01  -6.1802e+01   [8.3333e-02, 8.3333e-02, 0.0000e+00]
9.1547e-01  -6.1805e+01   [6.6667e-02, 6.6667e-02, 0.0000e+00]
9.3660e-01  -6.1807e+01   [5.0000e-02, 5.0000e-02, 0.0000e+00]
9.5774e-01  -6.1808e+01   [3.3333e-02, 3.3333e-02, 0.0000e+00]
9.7887e-01  -6.1809e+01   [1.6667e-02, 1.6667e-02, 0.0000e+00]
1.0000e+00  -6.1810e+01   [0.0000e+00, 0.0000e+00, 0.0000e+00]

# Band 2
x           Energy / eV  Fractional k-point
0.0000e+00  -3.5973e+01   [0.0000e+00, 0.0000e+00, 0.0000e+00]
1.8301e-02  -3.5973e+01   [0.0000e+00, 2.5000e-02, 0.0000e+00]
3.6603e-02  -3.5971e+01   [0.0000e+00, 5.0000e-02, 0.0000e+00]
5.4904e-02  -3.5969e+01   [0.0000e+00, 7.5000e-02, 0.0000e+00]
7.3205e-02  -3.5966e+01   [0.0000e+00, 1.0000e-01, 0.0000e+00]
9.1506e-02  -3.5962e+01   [0.0000e+00, 1.2500e-01, 0.0000e+00]
1.0981e-01  -3.5957e+01   [0.0000e+00, 1.5000e-01, 0.0000e+00]
1.2811e-01  -3.5952e+01   [0.0000e+00, 1.7500e-01, 0.0000e+00]
1.4641e-01  -3.5946e+01   [0.0000e+00, 2.0000e-01, 0.0000e+00]
1.6471e-01  -3.5940e+01   [0.0000e+00, 2.2500e-01, 0.0000e+00]
1.8301e-01  -3.5934e+01   [0.0000e+00, 2.5000e-01, 0.0000e+00]
2.0131e-01  -3.5964e+01   [0.0000e+00, 2.7500e-01, 0.0000e+00]
2.1962e-01  -3.5994e+01   [0.0000e+00, 3.0000e-01, 0.0000e+00]
2.3792e-01  -3.6023e+01   [0.0000e+00, 3.2500e-01, 0.0000e+00]
2.5622e-01  -3.6049e+01   [0.0000e+00, 3.5000e-01, 0.0000e+00]
2.7452e-01  -3.6072e+01   [0.0000e+00, 3.7500e-01, 0.0000e+00]
2.9282e-01  -3.6091e+01   [0.0000e+00, 4.0000e-01, 0.0000e+00]
3.1112e-01  -3.6107e+01   [0.0000e+00, 4.2500e-01, 0.0000e+00]
3.2942e-01  -3.6119e+01   [0.0000e+00, 4.5000e-01, 0.0000e+00]
3.4772e-01  -3.6126e+01   [0.0000e+00, 4.7500e-01, 0.0000e+00]
3.6603e-01  -3.6128e+01   [0.0000e+00, 5.0000e-01, 0.0000e+00]
3.7659e-01  -3.6128e+01   [1.6667e-02, 4.9167e-01, 0.0000e+00]
3.8716e-01  -3.6127e+01   [3.3333e-02, 4.8333e-01, 0.0000e+00]
3.9772e-01  -3.6125e+01   [5.0000e-02, 4.7500e-01, 0.0000e+00]
4.0829e-01  -3.6123e+01   [6.6667e-02, 4.6667e-01, 0.0000e+00]
4.1886e-01  -3.6120e+01   [8.3333e-02, 4.5833e-01, 0.0000e+00]
4.2942e-01  -3.6116e+01   [1.0000e-01, 4.5000e-01, 0.0000e+00]
4.3999e-01  -3.6112e+01   [1.1667e-01, 4.4167e-01, 0.0000e+00]
4.5056e-01  -3.6107e+01   [1.3333e-01, 4.3333e-01, 0.0000e+00]
4.6112e-01  -3.6102e+01   [1.5000e-01, 4.2500e-01, 0.0000e+00]
4.7169e-01  -3.6096e+01   [1.6667e-01, 4.1667e-01, 0.0000e+00]
4.8225e-01  -3.6089e+01   [1.8333e-01, 4.0833e-01, 0.0000e+00]
4.9282e-01  -3.6083e+01   [2.0000e-01, 4.0000e-01, 0.0000e+00]
5.0339e-01  -3.6075e+01   [2.1667e-01, 3.9167e-01, 0.0000e+00]
5.1395e-01  -3.6068e+01   [2.3333e-01, 3.8333e-01, 0.0000e+00]
5.2452e-01  -3.6060e+01   [2.5000e-01, 3.7500e-01, 0.0000e+00]
5.3509e-01  -3.6052e+01   [2.6667e-01, 3.6667e-01, 0.0000e+00]
5.4565e-01  -3.6044e+01   [2.8333e-01, 3.5833e-01, 0.0000e+00]
5.5622e-01  -3.6037e+01   [3.0000e-01, 3.5000e-01, 0.0000e+00]
5.6678e-01  -3.6032e+01   [3.1667e-01, 3.4167e-01, 0.0000e+00]
5.7735e-01  -3.6029e+01   [3.3333e-01, 3.3333e-01, 0.0000e+00]
5.9848e-01  -3.6036e+01   [3.1667e-01, 3.1667e-01, 0.0000e+00]
6.1962e-01  -3.6047e+01   [3.0000e-01, 3.0000e-01, 0.0000e+00]
